LS;22.03.2018 11:41;;;
Dateiname:;LSZ_AM80_01_01.$ls;;;
Datei ID:;LSZ_AM80;;;
Proben ID:;;;;
Operator:;Anthony;;;
Bar code:;;;;
Kommentar1:;Attritor milling t 80 min;;;
Kommentar2:;After drying in oven, resuspended in water, no sonication;;;
;;;;
Von;0,04;;;
bis;2000;;;
Volumen ;100;;;
Mittelwert:;2,04951;;;
Medianwert:;1,16037;;;
Mittel/Medianwert:;1,76627;;;
Maximum:;3,68736;;;
d10:;0,141173;;;
d50:;1,16037;;;
d90:;5,21861;;;
;;;;
Kanaldurchmesser (Unten);Diff.;Diff.;Kum. <;Kum. <
um;Volumen;Anzahl;Volumen;Anzahl
;%;%;%;%
0,04;0,02698;2,29684;0;0
0,0439105;0,0348945;2,24554;0,02698;2,29684
0,0482033;0,0548362;2,66751;0,0618745;4,54238
0,0529158;0,11035;4,05775;0,116711;7,20989
0,0580889;0,231858;6,44481;0,227061;11,2676
0,0637679;0,428698;9,0077;0,458918;17,7125
0,070002;0,642754;10,209;0,887616;26,7201
0,0768455;0,833259;10,0045;1,53037;36,9291
0,0843581;1,00939;9,16107;2,36363;46,9336
0,0926052;1,18985;8,16313;3,37302;56,0947
0,101658;1,36241;7,0656;4,56286;64,2578
0,111597;1,5125;5,92936;5,92528;71,3234
0,122507;1,65561;4,90623;7,43778;77,2528
0,134483;1,78164;3,99102;9,0934;82,159
0,147631;1,88144;3,18585;10,875;86,15
0,162064;1,95765;2,50581;12,7565;89,3359
0,177907;2,02965;1,96386;14,7141;91,8417
0,1953;2,09338;1,53113;16,7438;93,8055
0,214393;2,13455;1,18016;18,8372;95,3366
0,235353;2,15041;0,898738;20,9717;96,5168
0,258361;2,14871;0,678836;23,1221;97,4155
0,283619;2,13625;0,51017;25,2708;98,0944
0,311346;2,10138;0,379354;27,4071;98,6046
0,341784;2,04415;0,27895;29,5085;98,9839
0,375198;1,96631;0,202833;31,5526;99,2628
0,411878;1,89051;0,147414;33,5189;99,4657
0,452145;1,8033;0,106293;35,4094;99,6131
0,496347;1,70552;0,075992;37,2127;99,7194
0,544872;1,5924;0,0536336;38,9182;99,7954
0,59814;1,49528;0,03807;40,5106;99,849
0,656615;1,40968;0,0271304;42,0059;99,8871
0,720807;1,33879;0,019477;43,4156;99,9142
0,791275;1,27632;0,0140361;44,7544;99,9337
0,868632;1,24751;0,0103706;46,0307;99,9477
0,953552;1,26022;0,00791923;47,2782;99,9581
1,04677;1,31965;0,0062686;48,5384;99,966
1,14911;1,41642;0,00508599;49,8581;99,9723
1,26145;1,54905;0,00420461;51,2745;99,9774
1,38477;1,71632;0,00352154;52,8236;99,9816
1,52015;1,91226;0,00296591;54,5399;99,9851
1,66876;2,12348;0,00248964;56,4521;99,9881
1,8319;2,32821;0,0020634;58,5756;99,9906
2,011;2,51386;0,00168412;60,9038;99,9926
2,2076;2,67345;0,00135388;63,4177;99,9943
2,42342;2,80838;0,00107508;66,0911;99,9957
2,66033;2,91423;0,000843304;68,8995;99,9967
2,92042;2,98858;0,000653731;71,8137;99,9976
3,20592;3,02928;0,000500898;74,8023;99,9982
3,51934;3,03694;0,000379596;77,8316;99,9987
3,8634;3,00273;0,00028371;80,8685;99,9991
4,2411;2,90344;0,00020737;83,8713;99,9994
4,65572;2,7081;0,000146209;86,7747;99,9996
5,11087;2,39844;9,79E-05;89,4828;99,9998
5,61052;2,00452;6,18E-05;91,8812;99,9998
6,15902;1,59172;3,71E-05;93,8858;99,9999
6,76114;1,23653;2,18E-05;95,4775;100
7,42212;0,975655;1,30E-05;96,714;100
8,14773;0,788781;7,95E-06;97,6897;100
8,94427;0,633493;4,82E-06;98,4785;100
9,81869;0,466829;2,69E-06;99,1119;100
10,7786;0,276198;1,20E-06;99,5788;100
11,8323;0,116148;3,82E-07;99,855;100
12,9891;0,0261551;6,50E-08;99,9711;100
14,2589;0,00270511;5,08E-09;99,9973;100
15,6529;1,79E-05;2,54E-11;100;100
17,1832;0;0;100;100
18,863;0;0;100;100
20,7071;0;0;100;100
22,7315;0;0;100;100
24,9538;0;0;100;100
27,3934;0;0;100;100
30,0714;0;0;100;100
33,0113;0;0;100;100
36,2385;0;0;100;100
39,7813;0;0;100;100
43,6704;0;0;100;100
47,9397;0;0;100;100
52,6264;0;0;100;100
57,7713;0;0;100;100
63,4192;0;0;100;100
69,6192;0;0;100;100
76,4253;0;0;100;100
83,8969;0;0;100;100
92,0988;0;0;100;100
101,103;0;0;100;100
110,987;0;0;100;100
121,837;0;0;100;100
133,748;0;0;100;100
146,824;0;0;100;100
161,177;0;0;100;100
176,935;0;0;100;100
194,232;0;0;100;100
213,221;0;0;100;100
234,066;0;0;100;100
256,948;0;0;100;100
282,068;0;0;100;100
309,644;0;0;100;100
339,916;0;0;100;100
373,147;0;0;100;100
409,626;0;0;100;100
449,672;0;0;100;100
493,633;0;0;100;100
541,892;0;0;100;100
594,869;0;0;100;100
653,025;0;0;100;100
716,866;0;0;100;100
786,949;0;0;100;100
863,883;0;0;100;100
948,338;0;0;100;100
1041,05;0;0;100;100
1142,83;0;0;100;100
1254,55;0;0;100;100
1377,2;0;0;100;100
1511,84;0;0;100;100
1659,64;0;0;100;100
1821,89;0;0;100;100
2000;;;100;100
